Index,Term,Chi-square,IDF
1,放疗,0.07572463768115942,2.9053024729939674
2,肠癌,0.07203466329662393,5.356923145148501
3,婴儿,0.05613259212579522,5.855914311267489
4,乳腺癌,0.0558321479374111,2.936555016498072
5,胃癌,0.04120638260564615,3.225295850298095
6,肺癌,0.03774903879762321,3.3092303017832454
7,肝硬化,0.03672611791877847,6.291232382525335
8,治疗,0.03397822619790583,2.6512567354015673
9,化疗,0.03395437924429741,3.411012996093188
10,怎么回事,0.03303759818999924,3.0579158735023393
11,痛,0.031295041750250684,4.628684644777286
12,晚期,0.03074901849010141,3.48512096824691
13,眼,0.02467644521138913,6.743217506268392
14,白血病,0.02379310344827586,3.754653722193013
15,早期,0.021855102392015144,3.837097391404088
16,感觉,0.021113269297288666,3.632881849975397
17,肿瘤,0.02023793333462856,3.791287855372794
18,牙龈,0.017967228142546122,5.28793027366155
19,患者,0.017916582759805257,3.926953720525949
20,月,0.01650033464713319,3.5186436602855533
21,转移,0.01617620415663742,4.016298820861799
22,眼睑,0.015405299754794537,6.491903077987486
23,症状,0.014740531092032761,3.3710076614794886
24,请问,0.013656538067599864,4.294678500651266
25,宫颈癌,0.012809461155724938,4.3071010206498235
26,．,0.012792085962817671,4.3583943150373745
27,咽喉,0.012603710228004019,6.204221005535705
28,术后,0.012580804436173041,3.95292920692921
29,鼻子,0.010827221558928877,4.561993270278614
30,卵巢癌,0.010740879150491793,4.469619950147599
31,东西,0.010739413050915527,4.156528162170449
32,原因,0.010569003851814737,3.7987785271019514
33,脚,0.01025670301231185,5.855914311267489
34,发热,0.009359323133750968,6.050070325708447
35,晚上,0.009177430319510536,4.681794470091234
36,活多久,0.009024005345790936,4.628684644777286
37,鼻咽癌,0.008932751100089543,4.41246153630765
38,病人,0.008764241893076249,4.42644777828239
39,耳,0.008550316678395497,7.079689742889605
40,血管瘤,0.008379646616967516,4.628684644777286
41,几天,0.0080983448701353,4.594783093101604
42,子宫内膜癌,0.007636178516884439,4.8604862588346105
43,食道癌,0.007636178516884439,4.8604862588346105
44,舌头,0.007357520891828789,4.975555588619398
45,治愈,0.007162524573634392,4.628684644777286
46,经常感冒,0.0070175803382993545,7.99598047476376
47,胰腺癌,0.006952687807359675,4.951458037040337
48,睡觉,0.006952687807359675,4.951458037040337
49,吃,0.006856441767694399,2.7702338010505585
50,里,0.006827067204425695,4.663775964588556
51,特别,0.006827067204425695,4.663775964588556
52,舒服,0.006744671709349614,4.737883936742278
53,抑郁,0.006744671709349614,5.981077454221495
54,饮食,0.0066596167887806226,4.681794470091234
55,皮肤癌,0.006440677966101695,5.025566009194058
56,预防,0.006099627245001694,5.078209742679481
57,传染,0.006040863082719552,4.628684644777286
58,长,0.005942593563925609,4.211790840845499
59,化脓,0.005780553077609277,6.609686113643869
60,阵痛,0.005648582833329149,7.590515366655596
61,减肥,0.00558848433530906,5.162767130707544
62,癌症,0.005440716894461388,5.078209742679481
63,骨癌,0.005418218760582459,5.192620093857225
64,两个,0.005355321319279157,4.646076387489155
65,方法,0.005334585182656197,4.294678500651266
66,岁,0.005288465190474382,3.95292920692921
67,体重,0.0052480108346030134,5.223391752523979
68,声音嘶哑,0.0050778605280974946,7.99598047476376
69,早上,0.00493161932620019,5.162767130707544
70,靶向,0.004907767811812489,5.28793027366155
71,我家,0.004907767811812489,5.28793027366155
72,咳嗽,0.004888390214198321,4.398668214175314
73,骨折,0.0047377326565143825,5.644605217600282
74,头晕,0.004668217354784519,5.393290789319376
75,扩散,0.004567755032989342,5.356923145148501
76,有时候,0.0044835007173601145,5.133779593834292
77,中期,0.004397834912043302,5.393290789319376
78,你好,0.004397834912043302,5.393290789319376
79,口腔,0.004315808380160624,5.916538933083924
80,膝盖骨,0.004227972264501945,7.99598047476376
81,脸肿,0.004148323738570945,7.99598047476376
82,一点,0.0040850858109741355,5.321831825337231
83,左,0.004070569444108323,5.105608716867595
84,表现,0.003981061288684284,5.223391752523979
85,疹子,0.003927477917955788,7.99598047476376
86,确诊,0.003916113711410616,5.356923145148501
87,红,0.003916113711410616,5.356923145148501
88,右边,0.003916113711410616,5.356923145148501
89,女,0.003905627291567033,5.133779593834292
90,两天,0.003905627291567033,5.133779593834292
91,膀胱癌,0.0038884192730346575,5.511073824975759
92,鼻涕,0.0038884192730346575,5.511073824975759
93,额头,0.003814037463326563,7.079689742889605
94,中晚期,0.0037187288708586883,5.553633439394555
95,直肠癌术后,0.0037187288708586883,5.553633439394555
96,咋办,0.0036555522231060456,5.000248201209769
97,回事,0.003578555724674446,5.431031117302223
98,喉癌,0.0035490958255872907,5.5980852019653895
99,近视,0.0035490958255872907,5.5980852019653895
100,外伤,0.0035490958255872907,6.89736818609565
101,腹泻,0.0035490958255872907,5.916538933083924
102,说,0.0035432962984041465,4.282408408059452
103,右,0.0035284722054161324,5.105608716867595
104,复发,0.0034968777876895627,5.025566009194058
105,切除,0.0034784119250383617,4.951458037040337
106,发现,0.003418949123006402,4.398668214175314
107,水肿,0.0034131183887896807,7.079689742889605
108,手掌,0.0034131183887896807,7.99598047476376
109,注意事项,0.0033795201081446434,5.644605217600282
110,头颈部,0.0033795201081446434,5.644605217600282
111,说话,0.0033795201081446434,5.644605217600282
112,流鼻涕,0.0033795201081446434,5.644605217600282
113,白色,0.0033795201081446434,5.644605217600282
114,红肿,0.0033795201081446434,5.644605217600282
115,手术,0.0033302497687326548,3.4473806402640625
116,脖子,0.0033145986453379447,5.356923145148501
117,骨骼,0.003241574479032673,7.590515366655596
118,痒,0.003241574479032673,5.511073824975759
119,度,0.003241574479032673,5.511073824975759
120,淋巴瘤,0.0032100016894745734,5.693395381769714
121,矫正,0.0032100016894745734,5.693395381769714
122,恶性,0.003148745706255855,5.393290789319376
123,溃疡,0.003148745706255855,6.89736818609565
124,区别,0.003087050145599057,5.28793027366155
125,鼻炎,0.003073329645337759,5.553633439394555
126,出血,0.0030570652173913045,5.255140450838559
127,疗效,0.0030405405405405407,5.744688676157264
128,照射,0.0030405405405405407,5.744688676157264
129,睡,0.0030405405405405407,5.744688676157264
130,智齿,0.0030405405405405407,5.744688676157264
131,痰,0.0029832572298325723,5.431031117302223
132,喝,0.002903481909946694,4.578253791150394
133,骨肉瘤,0.0028711366323256205,5.79875589742754
134,走路,0.0028711366323256205,5.79875589742754
135,好像,0.0028711366323256205,5.79875589742754
136,手脚无力,0.0028711366323256205,7.99598047476376
137,术,0.0027374112875971613,5.644605217600282
138,同房出血,0.002730760550665764,8.689127655323706
139,细胞,0.002701789935832489,5.855914311267489
140,会得,0.002701789935832489,5.855914311267489
141,哺乳期,0.002701789935832489,5.855914311267489
142,鼻塞,0.002701789935832489,5.855914311267489
143,睡不着,0.002701789935832489,5.855914311267489
144,眼球,0.002701789935832489,5.855914311267489
145,身高,0.002701789935832489,5.855914311267489
146,脚底,0.002701789935832489,7.590515366655596
147,这是,0.0026286280163688525,4.135250763723164
148,昨天,0.0025697797458674562,5.693395381769714
149,伤口,0.0025697797458674562,5.744688676157264
150,腔内,0.002532500422083404,5.916538933083924
151,脑瘤,0.002532500422083404,5.916538933083924
152,期,0.002532500422083404,5.916538933083924
153,哪几种,0.002532500422083404,5.916538933083924
154,类型,0.002532500422083404,5.916538933083924
155,癌,0.002532500422083404,5.916538933083924
156,小心,0.002532500422083404,5.916538933083924
157,哭闹,0.002532500422083404,6.89736818609565
158,拔,0.002532500422083404,5.916538933083924
159,星期,0.002532500422083404,5.916538933083924
160,左眼,0.002532500422083404,5.916538933083924
161,三天,0.002532500422083404,5.916538933083924
162,三岁,0.002532500422083404,5.916538933083924
163,左边,0.002532500422083404,5.916538933083924
164,膝盖,0.002532500422083404,5.431031117302223
165,作用,0.0024893970127235847,5.553633439394555
166,副作用,0.0024415055951169887,4.975555588619398
167,肚子,0.0024415055951169887,7.079689742889605
168,脑,0.002411127052446995,5.744688676157264
169,不好,0.002411127052446995,5.133779593834292
170,药,0.002409674396465811,4.156528162170449
171,接受,0.0024024024024024023,5.744688676157264
172,恶性黑色素瘤,0.002363268062120189,5.981077454221495
173,腺癌,0.002363268062120189,5.981077454221495
174,肾癌,0.002363268062120189,5.981077454221495
175,放化疗,0.002363268062120189,5.981077454221495
176,选择,0.002363268062120189,5.981077454221495
177,耳鸣,0.002363268062120189,5.981077454221495
178,雀斑,0.002363268062120189,8.689127655323706
179,厕所,0.002363268062120189,5.981077454221495
180,肿痛,0.002363268062120189,5.981077454221495
181,斤,0.002363268062120189,5.981077454221495
182,连续,0.002363268062120189,5.981077454221495
183,瘦,0.002363268062120189,5.981077454221495
184,烫伤,0.002363268062120189,5.981077454221495
185,躺,0.002363268062120189,5.981077454221495
186,模糊,0.002363268062120189,5.981077454221495
187,吃药,0.0023258247020288597,5.5980852019653895
188,鬓角,0.0022827189719310114,8.689127655323706
189,完,0.0022779472118679167,5.078209742679481
190,心理,0.002235313987104722,5.79875589742754
191,腹水,0.002235313987104722,5.79875589742754
192,多月,0.002235313987104722,5.79875589742754
193,恢复,0.002235313987104722,5.79875589742754
194,中,0.0022210568528858313,4.882465165553385
195,能治,0.0021940928270042194,6.050070325708447
196,过程,0.0021940928270042194,6.050070325708447
197,小细胞肺癌,0.0021940928270042194,6.050070325708447
198,血丝,0.0021940928270042194,6.050070325708447
199,眼镜,0.0021940928270042194,6.050070325708447
200,一岁,0.0021940928270042194,6.050070325708447
201,流,0.0021940928270042194,6.050070325708447
202,肉,0.0021940928270042194,6.050070325708447
203,五个,0.0021940928270042194,6.050070325708447
204,失眠,0.0021940928270042194,6.050070325708447
205,很痛,0.0021940928270042194,6.050070325708447
206,肾脏,0.0021910604732690623,7.302833294203815
207,腰,0.0021628928692125717,5.916538933083924
208,一个月,0.0021345078773505,5.105608716867595
209,检查,0.00211658371946685,3.9706287840286105
210,肺,0.002116491703352523,6.124178297862168
211,不良反应,0.0020685579196217494,5.855914311267489
212,按压,0.0020685579196217494,5.855914311267489
213,出生,0.0020685579196217494,5.855914311267489
214,一块,0.0020685579196217494,5.855914311267489
215,事,0.0020685579196217494,5.855914311267489
216,放射线,0.0020249746878164025,6.124178297862168
217,轻微,0.0020249746878164025,6.124178297862168
218,长高,0.0020249746878164025,6.124178297862168
219,腹部,0.0020249746878164025,6.743217506268392
220,大汗,0.0020249746878164025,8.689127655323706
221,男孩,0.0020249746878164025,6.124178297862168
222,肋骨,0.0020249746878164025,6.124178297862168
223,红血丝,0.0020249746878164025,6.124178297862168
224,好多,0.0020249746878164025,6.124178297862168
225,上火,0.0020249746878164025,6.124178297862168
226,诊断,0.0020198134077137634,5.051541495597319
227,三个,0.002000693573772241,5.693395381769714
228,怀孕,0.0019714171813649197,5.356923145148501
229,月经,0.0019579405366207396,5.321831825337231
230,并发症,0.0019021892059204232,5.916538933083924
231,方式,0.0019021892059204232,5.916538933083924
232,介入治疗,0.0018559136156571622,6.204221005535705
233,您好,0.0018559136156571622,6.204221005535705
234,姑息性,0.0018559136156571622,6.204221005535705
235,常用,0.0018559136156571622,6.204221005535705
236,恶性肿瘤,0.0018559136156571622,6.204221005535705
237,碰,0.0018559136156571622,6.204221005535705
238,奶粉,0.0018559136156571622,6.204221005535705
239,身高体重,0.0018559136156571622,6.204221005535705
240,一只,0.0018559136156571622,6.204221005535705
241,声音,0.0018559136156571622,6.204221005535705
242,食指,0.0018559136156571622,7.302833294203815
243,半月,0.0018559136156571622,6.204221005535705
244,毛细血管,0.0018559136156571622,7.590515366655596
245,紧张,0.0018559136156571622,6.204221005535705
246,嗓子疼,0.0018393393393393393,5.744688676157264
247,血,0.0018107631763200464,5.5980852019653895
248,食管癌,0.0017362785762515675,5.981077454221495
249,治好,0.0017362785762515675,5.981077454221495
250,不能回纳,0.0017362785762515675,8.689127655323706
251,复查,0.0017143582797155435,5.192620093857225
252,护理,0.0016869095816464238,6.291232382525335
253,骨转移,0.0016869095816464238,6.291232382525335
254,还会,0.0016869095816464238,6.291232382525335
255,哪家,0.0016869095816464238,6.291232382525335
256,精神,0.0016869095816464238,6.291232382525335
257,神经,0.0016869095816464238,6.743217506268392
258,爱,0.0016869095816464238,6.291232382525335
259,手心,0.0016869095816464238,6.89736818609565
260,下方,0.0016869095816464238,6.291232382525335
261,小时候,0.0016869095816464238,6.291232382525335
262,一周,0.0016869095816464238,6.291232382525335
263,尿,0.0016869095816464238,6.291232382525335
264,端坐,0.0016869095816464238,8.689127655323706
265,白,0.0016869095816464238,6.291232382525335
266,小儿,0.0016869095816464238,6.291232382525335
267,能治好,0.0016654522743832622,5.393290789319376
268,治,0.0016629899881215001,4.8604862588346105
269,患,0.0016538645301187108,5.511073824975759
270,服用,0.0016538645301187108,5.511073824975759
271,淋巴,0.0016140602582496414,5.133779593834292
272,遗传,0.0015709185329438493,6.050070325708447
273,X,0.0015709185329438493,6.050070325708447
274,小时,0.0015709185329438493,6.050070325708447
275,不疼,0.0015709185329438493,6.050070325708447
276,刚刚,0.0015709185329438493,6.050070325708447
277,呕吐,0.0015691490517732254,5.79875589742754
278,效果,0.0015691490517732254,5.000248201209769
279,腰痛,0.0015220700152207,8.689127655323706
280,每次,0.001519756838905775,5.855914311267489
281,急性白血病,0.0015179625569235959,6.38654256232966
282,放射性肺炎,0.0015179625569235959,6.38654256232966
283,良性,0.0015179625569235959,6.38654256232966
284,淋巴癌,0.0015179625569235959,6.38654256232966
285,放射性,0.0015179625569235959,6.38654256232966
286,纤维瘤,0.0015179625569235959,6.38654256232966
287,晕厥,0.0015179625569235959,8.689127655323706
288,发红,0.0015179625569235959,6.38654256232966
289,脚踝,0.0015179625569235959,6.38654256232966
290,一个多月,0.0015179625569235959,6.38654256232966
291,熬夜,0.0015179625569235959,6.38654256232966
292,经常,0.0015179625569235959,6.38654256232966
293,起床,0.0015179625569235959,6.38654256232966
294,歪,0.0015179625569235959,6.38654256232966
295,结膜炎,0.0015179625569235959,6.38654256232966
296,劳累,0.0015179625569235959,8.689127655323706
297,mm,0.0015179625569235959,6.38654256232966
298,气,0.0015179625569235959,6.38654256232966
299,脚趾,0.0015179625569235959,6.609686113643869
300,外侧,0.0015179625569235959,6.38654256232966
301,指甲,0.0015027431731889278,7.590515366655596
302,期间,0.0014241473854468706,4.904938021405444
303,第二天,0.0014062324220947239,6.124178297862168
304,号,0.0014062324220947239,6.124178297862168
305,事情,0.0014062324220947239,6.124178297862168
306,两次,0.0014062324220947239,6.124178297862168
307,小便,0.0014062324220947239,6.124178297862168
308,天,0.001398804481982527,5.105608716867595
309,男,0.001398804481982527,5.105608716867595
310,吐奶,0.0013809040694397474,6.89736818609565
311,位置,0.0013809040694397474,5.470251830455505
312,喝水,0.0013619224492092971,5.916538933083924
313,越来越,0.0013619224492092971,5.916538933083924
314,干,0.0013600843413248348,5.5980852019653895
315,总,0.0013513513513513514,5.744688676157264
316,胸闷,0.0013513513513513514,5.981077454221495
317,水果,0.0013490725126475548,6.491903077987486
318,分子,0.0013490725126475548,6.491903077987486
319,副反应,0.0013490725126475548,6.491903077987486
320,活检,0.0013490725126475548,6.491903077987486
321,阶段,0.0013490725126475548,6.491903077987486
322,可能性,0.0013490725126475548,6.491903077987486
323,脑膜瘤,0.0013490725126475548,6.491903077987486
324,稍微,0.0013490725126475548,6.491903077987486
325,抽搐,0.0013490725126475548,6.743217506268392
326,酸疼,0.0013490725126475548,6.491903077987486
327,噩梦,0.0013490725126475548,6.491903077987486
328,红红的,0.0013490725126475548,6.491903077987486
329,一会,0.0013490725126475548,6.491903077987486
330,床上,0.0013490725126475548,6.491903077987486
331,心慌,0.0013490725126475548,7.079689742889605
332,混合,0.0013490725126475548,6.491903077987486
333,持续性,0.0013490725126475548,8.689127655323706
334,流鼻血,0.0013490725126475548,6.609686113643869
335,女生,0.0013490725126475548,6.491903077987486
336,双眼皮,0.0013490725126475548,6.491903077987486
337,四肢无力,0.0013490725126475548,7.99598047476376
338,麻木,0.0013490725126475548,6.491903077987486
339,流眼泪,0.0013490725126475548,6.491903077987486
340,喜欢,0.0013490725126475548,6.491903077987486
341,类似,0.0013490725126475548,6.491903077987486
342,皮疹,0.0013490725126475548,7.99598047476376
343,瘀斑,0.0013490725126475548,7.99598047476376
344,下午,0.0013490725126475548,6.491903077987486
345,白天,0.0013490725126475548,6.491903077987486
346,扁桃体发炎,0.0013490725126475548,6.491903077987486
347,热,0.0013490725126475548,6.491903077987486
348,觉,0.0013490725126475548,6.491903077987486
349,没什么,0.0013490725126475548,6.491903077987486
350,磕,0.0013490725126475548,6.491903077987486
351,水泡,0.0013490725126475548,6.491903077987486
352,回来,0.0013490725126475548,6.491903077987486
353,想,0.001313312375582118,4.124779463855869
354,有何,0.0012423884534564474,6.204221005535705
355,屁股,0.0012423884534564474,6.38654256232966
356,肌肉,0.0012423884534564474,6.609686113643869
357,胳膊,0.0012423884534564474,6.204221005535705
358,减肥药,0.0012423884534564474,6.204221005535705
359,醒,0.0012423884534564474,6.204221005535705
360,右侧,0.0012422360248447205,5.511073824975759
361,拉,0.0012422360248447205,5.511073824975759
362,综合,0.0012057490112858107,5.981077454221495
363,适合,0.0012057490112858107,5.981077454221495
364,买,0.0012057490112858107,5.981077454221495
365,几率,0.0012057490112858107,5.981077454221495
366,掉,0.0012057490112858107,5.981077454221495
367,中医,0.0012021021886207616,5.79875589742754
368,体位,0.0011802394199966278,6.609686113643869
369,胶质瘤,0.0011802394199966278,6.609686113643869
370,M,0.0011802394199966278,6.609686113643869
371,穿刺,0.0011802394199966278,6.609686113643869
372,晚期症状,0.0011802394199966278,6.609686113643869
373,人群,0.0011802394199966278,6.609686113643869
374,优缺点,0.0011802394199966278,6.609686113643869
375,加速器,0.0011802394199966278,6.609686113643869
376,颅咽管瘤,0.0011802394199966278,6.609686113643869
377,压力,0.0011802394199966278,6.609686113643869
378,撞,0.0011802394199966278,6.609686113643869
379,快速,0.0011802394199966278,6.609686113643869
380,八个,0.0011802394199966278,6.609686113643869
381,刺激,0.0011802394199966278,6.609686113643869
382,眼白,0.0011802394199966278,6.609686113643869
383,流泪,0.0011802394199966278,6.609686113643869
384,脾气,0.0011802394199966278,6.609686113643869
385,黑色,0.0011802394199966278,6.609686113643869
386,里长,0.0011802394199966278,6.609686113643869
387,体质,0.0011802394199966278,6.609686113643869
388,筋,0.0011802394199966278,6.609686113643869
389,干净,0.0011802394199966278,6.609686113643869
390,口臭,0.0011802394199966278,6.609686113643869
391,糖尿病,0.0011802394199966278,6.609686113643869
392,左手,0.0011802394199966278,6.609686113643869
393,鱼刺,0.0011802394199966278,6.609686113643869
394,头孢,0.0011802394199966278,6.609686113643869
395,药好,0.0011802394199966278,6.609686113643869
396,洗,0.0011802394199966278,6.609686113643869
397,抽筋,0.0011802394199966278,6.89736818609565
398,堵,0.0011802394199966278,6.609686113643869
399,一点点,0.0011802394199966278,6.609686113643869
400,母乳,0.0011802394199966278,6.609686113643869
401,儿子,0.0011802394199966278,6.609686113643869
402,跳,0.0011802394199966278,6.609686113643869
403,全切,0.0010796221322537112,6.291232382525335
404,初期,0.0010796221322537112,6.291232382525335
405,咬,0.0010796221322537112,6.291232382525335
406,刀,0.0010796221322537112,6.291232382525335
407,我爸,0.0010796221322537112,6.291232382525335
408,应,0.0010796221322537112,6.291232382525335
409,下巴,0.0010796221322537112,6.38654256232966
410,七个,0.0010796221322537112,6.291232382525335
411,视力,0.0010796221322537112,6.291232382525335
412,皮肤瘙痒,0.0010796221322537112,7.99598047476376
413,水,0.0010796221322537112,6.291232382525335
414,半个,0.0010796221322537112,6.291232382525335
415,平时,0.0010796221322537112,6.291232382525335
416,反复发作,0.0010759285441175163,8.689127655323706
417,有个,0.0010759285441175163,5.693395381769714
418,帮,0.0010589171475654305,5.356923145148501
419,背,0.0010553866936845661,7.590515366655596
420,嗳气,0.0010553866936845661,7.99598047476376
421,内侧,0.0010516066212268745,6.050070325708447
422,适宜,0.0010114632501685772,6.743217506268392
423,临床表现,0.0010114632501685772,6.743217506268392
424,分化,0.0010114632501685772,6.743217506268392
425,化疗方案,0.0010114632501685772,6.743217506268392
426,抗癌,0.0010114632501685772,6.743217506268392
427,术中放疗,0.0010114632501685772,6.743217506268392
428,调强,0.0010114632501685772,6.743217506268392
429,更好,0.0010114632501685772,6.743217506268392
430,成功,0.0010114632501685772,6.743217506268392
431,经验,0.0010114632501685772,6.743217506268392
432,组织间,0.0010114632501685772,6.743217506268392
433,优点,0.0010114632501685772,6.743217506268392
434,治疗机,0.0010114632501685772,6.743217506268392
435,隔代遗传,0.0010114632501685772,6.743217506268392
436,刀口,0.0010114632501685772,6.743217506268392
437,疑似,0.0010114632501685772,6.743217506268392
438,交流,0.0010114632501685772,6.743217506268392
439,心情,0.0010114632501685772,6.743217506268392
440,弄,0.0010114632501685772,6.743217506268392
441,保健品,0.0010114632501685772,6.743217506268392
442,喉咙痛,0.0010114632501685772,6.743217506268392
443,黄色,0.0010114632501685772,6.743217506268392
444,有事吗,0.0010114632501685772,6.743217506268392
445,暴躁,0.0010114632501685772,6.743217506268392
446,碰到,0.0010114632501685772,6.743217506268392
447,愈合,0.0010114632501685772,6.743217506268392
448,摔,0.0010114632501685772,6.743217506268392
449,根,0.0010114632501685772,6.743217506268392
450,冷汗,0.0010114632501685772,7.590515366655596
451,斜视,0.0010114632501685772,6.743217506268392
452,挺,0.0010114632501685772,6.743217506268392
453,体温,0.0010114632501685772,6.743217506268392
454,走,0.0010114632501685772,6.743217506268392
455,眉毛,0.0010114632501685772,6.743217506268392
456,情绪低落,0.0010114632501685772,6.743217506268392
457,戴,0.0010114632501685772,6.743217506268392
458,看不清,0.0010114632501685772,6.743217506268392
459,脊椎,0.0010114632501685772,6.743217506268392
460,吸收,0.0010114632501685772,6.743217506268392
461,鼻梁,0.0010114632501685772,6.743217506268392
462,肩膀,0.0010114632501685772,6.743217506268392
463,肿块,0.0010114632501685772,5.5980852019653895
464,脚后跟,0.0010114632501685772,6.89736818609565
465,颈椎病,0.0010114632501685772,6.743217506268392
466,退烧药,0.0010114632501685772,6.743217506268392
467,下眼皮,0.0010114632501685772,6.743217506268392
468,洗完,0.0010114632501685772,6.743217506268392
469,五岁,0.0010114632501685772,6.743217506268392
470,喝酒,0.0010114632501685772,6.743217506268392
471,卡,0.0010114632501685772,6.743217506268392
472,软组织,0.0010114632501685772,6.743217506268392
473,头部,0.0010114632501685772,6.743217506268392
474,咽炎,0.0010114632501685772,6.743217506268392
475,松动,0.0010114632501685772,6.743217506268392
476,停经,0.0010114632501685772,7.99598047476376
477,胖,0.0010114632501685772,6.743217506268392
478,取出,0.0010114632501685772,6.743217506268392
479,边上,0.0010114632501685772,6.743217506268392
480,眼屎,0.0010114632501685772,6.743217506268392
481,牙齿痛,0.0010114632501685772,6.743217506268392
482,我该,0.0010114632501685772,6.743217506268392
483,乳腺,0.0009862220691989425,5.28793027366155
484,一年,0.0009737881970432249,5.5980852019653895
485,身体,0.0009229072123287297,5.223391752523979
486,进食,0.0009182736455463728,6.38654256232966
487,生气,0.0009182736455463728,6.38654256232966
488,那种,0.0009182736455463728,6.38654256232966
489,太,0.0009182736455463728,6.38654256232966
490,艾滋病,0.0009182736455463728,6.38654256232966
491,病理,0.0009117001519500254,5.916538933083924
492,两,0.0009117001519500254,5.916538933083924
493,红色,0.0009117001519500254,5.916538933083924
494,四个,0.0008999887501406232,6.124178297862168
495,口腔癌,0.0008999887501406232,6.124178297862168
496,消肿,0.0008999887501406232,6.124178297862168
497,几期,0.0008427439743805831,6.89736818609565
498,放射,0.0008427439743805831,6.89736818609565
499,粒细胞,0.0008427439743805831,6.89736818609565
500,乳头状癌,0.0008427439743805831,6.89736818609565
501,常见,0.0008427439743805831,6.89736818609565
502,NKT,0.0008427439743805831,6.89736818609565
503,模拟定位,0.0008427439743805831,6.89736818609565
504,肝血管瘤,0.0008427439743805831,6.89736818609565
505,谢谢,0.0008427439743805831,6.89736818609565
506,问问,0.0008427439743805831,6.89736818609565
507,腹腔,0.0008427439743805831,6.89736818609565
508,原发性,0.0008427439743805831,6.89736818609565
509,预后,0.0008427439743805831,6.89736818609565
510,停止,0.0008427439743805831,6.89736818609565
511,能活,0.0008427439743805831,6.89736818609565
512,国内,0.0008427439743805831,6.89736818609565
513,死亡率,0.0008427439743805831,6.89736818609565
514,康复,0.0008427439743805831,6.89736818609565
515,急性淋巴细胞白血病,0.0008427439743805831,6.89736818609565
516,肿瘤医院,0.0008427439743805831,6.89736818609565
517,破溃,0.0008427439743805831,6.89736818609565
518,区,0.0008427439743805831,6.89736818609565
519,临床症状,0.0008427439743805831,6.89736818609565
520,疗程,0.0008427439743805831,6.89736818609565
521,盆腔,0.0008427439743805831,6.89736818609565
522,ct,0.0008427439743805831,6.89736818609565
523,浸润性,0.0008427439743805831,6.89736818609565
524,标记线,0.0008427439743805831,6.89736818609565
525,宝贝,0.0008427439743805831,6.89736818609565
526,自卑,0.0008427439743805831,6.89736818609565
527,大姨妈,0.0008427439743805831,6.89736818609565
528,长胖,0.0008427439743805831,6.89736818609565
529,尿频,0.0008427439743805831,6.89736818609565
